10000,4033211001,4501231235,"jb-test-ctx","Rate Card Test 5 <1234>","IAX2/0282119604-13","SIP/8315-b791bcc0","Dial","dial data","20071101-110325","20071101-110355","20071101-111530",1,60,"ANSWERED",3,"mediation-batch-test-08"
10001,4033211001,4501231236,"jb-test-ctx","Rate Card Test 5 <1234>","IAX2/0282119604-13","SIP/8315-b791bcc0","Dial","dial data","20071101-110325","20071101-110355","20071101-111530",2,120,"ANSWERED",3,"mediation-batch-test-08"
10002,4033211001,4501231237,"jb-test-ctx","Rate Card Test 5 <1234>","IAX2/0282119604-13","SIP/8315-b791bcc0","Dial","dial data","20071101-110325","20071101-110355","20071101-111530",3,180,"ANSWERED",3,"mediation-batch-test-08"
10003,4033211001,4501231238,"jb-test-ctx","Rate Card Test 5 <1234>","IAX2/0282119604-13","SIP/8315-b791bcc0","Dial","dial data","20071101-110325","20071101-110355","20071101-111530",4,240,"ANSWERED",3,"mediation-batch-test-08"
10004,4033211001,4501231239,"jb-test-ctx","Rate Card Test 5 <1234>","IAX2/0282119604-13","SIP/8315-b791bcc0","Dial","dial data","20071101-110325","20071101-110355","20071101-111530",5,300,"ANSWERED",3,"mediation-batch-test-08"
10005,4033211001,4501231240,"jb-test-ctx","Rate Card Test 5 <1234>","IAX2/0282119604-13","SIP/8315-b791bcc0","Dial","dial data","20071101-110325","20071101-110355","20071101-111530",6,360,"ANSWERED",3,"mediation-batch-test-08"
10006,4033211001,4501231241,"jb-test-ctx","Rate Card Test 5 <1234>","IAX2/0282119604-13","SIP/8315-b791bcc0","Dial","dial data","20071101-110325","20071101-110355","20071101-111530",7,420,"ANSWERED",3,"mediation-batch-test-08"
10007,4033211001,4501231242,"jb-test-ctx","Rate Card Test 5 <1234>","IAX2/0282119604-13","SIP/8315-b791bcc0","Dial","dial data","20071101-110325","20071101-110355","20071101-111530",8,480,"ANSWERED",3,"mediation-batch-test-08"
10008,4033211001,4501231243,"jb-test-ctx","Rate Card Test 5 <1234>","IAX2/0282119604-13","SIP/8315-b791bcc0","Dial","dial data","20071101-110325","20071101-110355","20071101-111530",9,540,"ANSWERED",3,"mediation-batch-test-08"
10009,4033211001,4501231244,"jb-test-ctx","Rate Card Test 5 <1234>","IAX2/0282119604-13","SIP/8315-b791bcc0","Dial","dial data","20071101-110325","20071101-110355","20071101-111530",10,600,"ANSWERED",3,"mediation-batch-test-08"
